,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
0,1,0,摸,0D,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,第1手:你摸到一張沒用的牌。向聽數還是:6,第1手:你看到玩家A摸牌,第1手:你看到玩家A摸牌,第1手:你看到玩家A摸牌,,,,,,,,
1,1,0,丟,3B,1A 2A 2A 3A 6A 6A 8B 1C 1C 4C 5C 0D 1E ,,,,,,,,第1手:你丟4條,第1手:你看到玩家A丟4條,第1手:你看到玩家A丟4條,第1手:你看到玩家A丟4條,,,,,,,,
2,2,3,摸,6B,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,第2手:你看到玩家D摸牌,第2手:你看到玩家D摸牌,第2手:你看到玩家D摸牌,第2手:你摸到一張好牌了!向聽數降為:8,,,,,,,,
3,2,3,丟,0E,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E ,,,,,,,,第2手:你看到玩家D丟東風,第2手:你看到玩家D丟東風,第2手:你看到玩家D丟東風,第2手:你丟東風,,,,,,,,
4,3,2,摸,1E,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,第3手:你看到玩家C摸牌,第3手:你看到玩家C摸牌,第3手:你摸到一張沒用的牌。向聽數還是:5,第3手:你看到玩家C摸牌,,,,,,,,
5,3,2,丟,0A,3A 4A 7A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,第3手:你看到玩家C丟1萬,第3手:你看到玩家C丟1萬,第3手:你丟1萬,第3手:你看到玩家C丟1萬,,,,,,,,
6,4,1,吃,0A,1A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,第4手:你看到玩家B吃1萬,第4手:你吃1萬,第4手:你看到玩家B吃1萬,第4手:你看到玩家B吃1萬,,,,,,,,
7,4,1,丟,1A,5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,第4手:你看到玩家B丟2萬,第4手:你丟2萬,第4手:你看到玩家B丟2萬,第4手:你看到玩家B丟2萬,,,,,,,,
8,5,0,摸,3C,1A 2A 2A 3A 6A 6A 8B 1C 1C 4C 5C 0D 1E ,,,,,,,,第5手:你摸到一張好牌了!向聽數降為:6,第5手:你看到玩家A摸牌,第5手:你看到玩家A摸牌,第5手:你看到玩家A摸牌,,,,,,,,
9,5,0,丟,8B,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 0D 1E ,,,,,,,,第5手:你丟9條,第5手:你看到玩家A丟9條,第5手:你看到玩家A丟9條,第5手:你看到玩家A丟9條,,,,,,,,
10,6,3,摸,2E,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E ,,,,,,,,第6手:你看到玩家D摸牌,第6手:你看到玩家D摸牌,第6手:你看到玩家D摸牌,第6手:你摸到一張好牌了!向聽數降為:7,,,,,,,,
11,6,3,丟,3A,5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E 2E ,,,,,,,,第6手:你看到玩家D丟4萬,第6手:你看到玩家D丟4萬,第6手:你看到玩家D丟4萬,第6手:你丟4萬,,,,,,,,
12,7,2,摸,2A,3A 4A 7A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,第7手:你看到玩家C摸牌,第7手:你看到玩家C摸牌,第7手:你摸到一張沒用的牌。向聽數還是:5,第7手:你看到玩家C摸牌,,,,,,,,
13,7,2,丟,7A,2A 3A 4A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,第7手:你看到玩家C丟8萬,第7手:你看到玩家C丟8萬,第7手:你丟8萬,第7手:你看到玩家C丟8萬,,,,,,,,
14,8,1,摸,1E,5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,第8手:你看到玩家B摸牌,第8手:你摸到一張沒用的牌。向聽數還是:5,第8手:你看到玩家B摸牌,第8手:你看到玩家B摸牌,,,,,,,,
