1,3,ºN,0E,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,
1,3,¥á,0D,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,
2,2,ºN,4C,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,
2,2,¥á,6A,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,
3,1,¦Y,6A,0A 3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,
3,1,¥á,0A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,
4,0,¸I,0A,5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0
4,0,¥á,5A,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0
5,3,ºN,6B,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,
5,3,¥á,2A,5A 7A 0B 0B 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,
6,2,ºN,3B,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,
6,2,¥á,0B,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,
7,3,¸I,0B,5A 7A 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,9
7,3,¥á,3B,5A 7A 6B 8B 3C 6C 0E 0E 2E 3E ,,9
8,2,ºN,0D,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,
8,2,¥á,3B,6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 0D 2D ,,
9,1,ºN,1A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,
9,1,¥á,0E,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,
10,3,¸I,0E,5A 7A 6B 8B 3C 6C 2E 3E ,,9 30 
10,3,¥á,3C,5A 7A 6B 8B 6C 2E 3E ,,9 30 
11,2,¦Y,3C,6B 7B 0C 0C 1C 1C 2C 5C 0D 0D 2D ,48,
11,2,¥á,5C,6B 7B 0C 0C 1C 1C 2C 0D 0D 2D ,48,
12,1,ºN,3B,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,
12,1,¥á,0B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,
13,0,ºN,1D,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0
13,0,¥á,1B,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0
14,3,ºN,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 
14,3,¥á,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 
15,2,¦Y,0C,6B 7B 0C 0C 1C 0D 0D 2D ,44 48 ,
15,2,¥á,2D,6B 7B 0C 0C 1C 0D 0D ,44 48 ,
16,1,ºN,6B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,
16,1,¥á,3B,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,
17,0,ºN,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0
17,0,¥á,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0
18,3,ºN,5C,5A 7A 6B 8B 6C 2E 3E ,,9 30 
18,3,¥á,2E,5A 7A 6B 8B 5C 6C 3E ,,9 30 
19,2,ºN,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,
19,2,¥á,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,
20,1,ºN,7C,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,
20,1,¥á,0C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,
21,2,¸I,0C,6B 7B 1C 0D 0D ,44 48 ,18
21,2,¥á,1C,6B 7B 0D 0D ,44 48 ,18
22,1,ºN,6C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,
22,1,¥á,1E,1A 3A 6B 8B 3C 5C 6C 7C 8C 2E ,13,
23,0,ºN,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0
23,0,¥á,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0
24,3,ºN,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 
24,3,¥á,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 
25,2,ºN,5B,6B 7B 0D 0D ,44 48 ,18
25,2,¦ÛºN,5B,6B 7B 0D 0D ,44 48 ,18
¥x,6,Á`¥x,18,µP«¬,®Ú ­º­J ,
score,-34,34,-8,8,,
score,-34,34,-8,8,,
µ²§ô,,,,,,
