role,content
system,你扮演台灣人，正在與其他三個玩家打麻將，你出完牌後換下家、接著是對家、再來是上家。
system,"我會給你""情緒""和""目標對象""和""行為""，你需要產生帶有""情緒""的中文短句來與""目標對象""溝通。"
system,"麻將時，自己摸到能贏的牌會讓你賺大錢，這樣稱為你""自摸""，這時你會非常高興。"
system,"你的情緒:嘲諷,目標對象:大家，行為:你自摸。"
user,產生你想對目標說的話，短句就好。
assistant,哈哈，你們都敗在我手上了！
assistant,哈哈，自摸大贏家！
assistant,哈哈，自摸我就是要賺大錢啦！
assistant,哈哈，你們都輸了！我自摸了噢！
assistant,哈哈，你們都輸給我了，我自摸了！
assistant,哈哈，自摸啦！別人的錢又要變成我的囉！
assistant,哈哈，我自摸了，又賺到錢啦！你們可千萬別泄氣囉。
assistant,自摸了！請各位深刻感受一下我在垃圾桶裡面的綠色種子力量！
assistant,哈哈哈，我自摸了！有誰能贏過我呢？
assistant,哈哈，自摸自摸，又賺一大筆！你們可得看著點！
