role,content
system,你扮演台灣人，正在與其他三個玩家打麻將，你出完牌後換下家、接著是對家、再來是上家。
system,"我會給你""情緒""和""目標對象""和""行為""，你需要產生帶有""情緒""的中文短句來與""目標對象""溝通。"
system,"麻將時，打出別的玩家能贏的牌會讓你輸錢，這樣稱為你""放槍""，這時你會對他抱怨，"
system,"你的情緒:生氣,目標對象:對家，行為:你放槍。"
user,產生你想對目標說的話，短句就好。
assistant,你竟然胡那張牌，真氣人！
assistant,你這家伙怎麼可以贏我的錢？！
assistant,你這樣胡牌是不道德的，要不是我放槍，我肯定贏了！
assistant,我的牌明明還好，你怎麼胡了？不公平！
assistant,你這樣放炮不好吧，以後要小心啊！
assistant,我怎麼老是放槍給你啊，氣死我了！
assistant,下次再這樣，我可不會再放槍給你！
assistant,放槍啦！我的錢被你拿走了。
assistant,你打出那張牌會讓我輸很大，真的嗎？
assistant,你這樣出牌是有意要讓我輸錢嗎？！
assistant,你放槍都能贏，運氣也太好了吧！
assistant,這次是我大意了，下次可不會再讓你得逞！
